boundaryName,schemaName,rowType,playerName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
TournamentQualityReport,playerReport,data,飛,Neutral,5050,1,3.300,2.300,30.83,100.00
TournamentQualityReport,playerReport,data,角,Neutral,5030,2,4.150,2.150,10.83,90.00
TournamentQualityReport,playerReport,data,玉,Neutral,5010,3,5.350,2.350,12.50,90.00
TournamentQualityReport,playerReport,data,金,Neutral,4990,4,5.550,1.550,17.50,80.00
TournamentQualityReport,playerReport,data,銀,Neutral,4970,5,6.050,1.050,7.50,64.00
TournamentQualityReport,playerReport,data,桂,Neutral,4950,6,4.950,-1.050,12.50,90.00
TournamentQualityReport,playerReport,data,香,Neutral,4930,7,5.050,-1.950,5.83,85.00
TournamentQualityReport,playerReport,data,歩,Neutral,4910,8,6.700,-1.300,0.00,84.00
TournamentQualityReport,playerReport,data,きりん,Neutral,4890,9,10.550,1.550,2.50,30.00
TournamentQualityReport,playerReport,data,ぞう,Neutral,4870,10,11.800,1.800,0.00,24.00
TournamentQualityReport,playerReport,data,らいおん,Neutral,4850,11,10.500,-0.500,0.00,24.00
TournamentQualityReport,playerReport,data,いぬ,Neutral,4830,12,11.100,-0.900,0.00,18.33
TournamentQualityReport,playerReport,data,ねこ,Neutral,4810,13,11.750,-1.250,0.00,6.67
TournamentQualityReport,playerReport,data,うさぎ,Neutral,4790,14,12.700,-1.300,0.00,4.00
TournamentQualityReport,playerReport,data,いのしし,Neutral,4770,15,11.900,-3.100,0.00,10.00
TournamentQualityReport,playerReport,data,ひよこ,Neutral,4750,16,14.600,-1.400,0.00,0.00
