calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place2Percent,place3Percent,place4Percent,place5Percent,place6Percent,place7Percent,place8Percent,place9Percent,place10Percent,place11Percent,place12Percent,place13Percent,place14Percent,place15Percent,place16Percent
シミュレーション (1回),70.00,飛,5050,4903,-147,0,8,,61.51,50.00,1.500,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,角,5030,4883,-147,0,8,,58.79,0.00,5.000,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,玉,5010,4863,-147,0,8,,56.03,0.00,5.000,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,金,4990,4843,-147,0,8,,53.22,0.00,10.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,銀,4970,4823,-147,0,8,,50.40,50.00,1.500,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,桂,4950,4803,-147,0,8,,47.57,0.00,5.000,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,香,4930,4783,-147,0,8,,44.76,0.00,15.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
シミュレーション (1回),70.00,歩,4910,4763,-147,0,8,,41.98,0.00,16.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
シミュレーション (1回),70.00,きりん,4890,5037,+147,8,0,58.02,,0.00,5.000,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,ぞう,4870,5017,+147,8,0,55.24,,0.00,10.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,らいおん,4850,4997,+147,8,0,52.43,,0.00,10.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,いぬ,4830,4977,+147,8,0,49.60,,0.00,5.000,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,ねこ,4810,4957,+147,8,0,46.78,,0.00,13.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00
シミュレーション (1回),70.00,うさぎ,4790,4937,+147,8,0,43.97,,0.00,10.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00
シミュレーション (1回),70.00,いのしし,4770,4917,+147,8,0,41.21,,0.00,13.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00
シミュレーション (1回),70.00,ひよこ,4750,4897,+147,8,0,38.49,,0.00,10.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00
